windangle windspeed sailpos rudderpos	gyrox gyroy gyroz accelx accely accelz accelxnorm accelynorm accelznorm xrot yrot temperature	lat lon
53 3.36 85 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.43172333333333,-71.14757
36 4.32 157 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.431686666666664,-71.14756166666666
22 4.8 30 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.61988	42.43172166666667,-71.14752
26 4.32 157 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.431718333333336,-71.147485
22 3.36 157 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.431711666666665,-71.14746
16 2.4 157 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.66780	42.43167833333333,-71.14743666666666
0 2.4 157 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.00326	42.431673333333336,-71.14742833333334
227 2.88 89 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.81157	42.43165666666667,-71.14740666666667
222 3.36 106 93 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.431645,-71.147385
217 2.4 118 172 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.19496	42.43165333333334,-71.14737166666667
216 1.92 179 91 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 14.14703	42.43166166666666,-71.147345
214 1.92 170 254 	-310.00000 -118.00000 -1124.00000 -13828.00000 8320.00000 9508.00000 -0.84180 0.51001 0.58032 26.51063466892681 47.454972947499336 13.90742	42.431666666666665,-71.14736333333333
